"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2017","28.0 (x 1,000)","24.9 (x 1,000)","3.1 (x 1,000)","11.1"
,,,,"2018","27.0 (x 1,000)","23.9 (x 1,000)","3.2 (x 1,000)","11.9"
,,,,"2019","27.7 (x 1,000)","24.7 (x 1,000)","3.0 (x 1,000)","10.8"
,,,,"2020","28.1 (x 1,000)","24.5 (x 1,000)","3.6 (x 1,000)","12.8"
,,,"25 to 54 years","2010","131.6 (x 1,000)","122.1 (x 1,000)","9.5 (x 1,000)","7.2"
,,,,"2011","131.6 (x 1,000)","124.3 (x 1,000)","7.3 (x 1,000)","5.5"
,,,,"2012","134.7 (x 1,000)","126.7 (x 1,000)","8.0 (x 1,000)","5.9"
,,,,"2013","132.7 (x 1,000)","125.2 (x 1,000)","7.5 (x 1,000)","5.7"
,,,,"2014","128.6 (x 1,000)","121.5 (x 1,000)","7.1 (x 1,000)","5.5"
,,,,"2015","125.9 (x 1,000)","119.0 (x 1,000)","6.9 (x 1,000)","5.5"
,,,,"2016","125.2 (x 1,000)","118.1 (x 1,000)","7.0 (x 1,000)","5.6"
,,,,"2017","123.6 (x 1,000)","115.9 (x 1,000)","7.7 (x 1,000)","6.2"
,,,,"2018","123.6 (x 1,000)","116.1 (x 1,000)","7.4 (x 1,000)","6.0"
,,,,"2019","121.4 (x 1,000)","115.2 (x 1,000)","6.2 (x 1,000)","5.1"
,,,,"2020","121.4 (x 1,000)","113.4 (x 1,000)","8.0 (x 1,000)","6.6"
,,,"55 years and over","2010","30.8 (x 1,000)","27.5 (x 1,000)","3.4 (x 1,000)","11.0"
,,,,"2011","33.1 (x 1,000)","29.9 (x 1,000)","3.1 (x 1,000)","9.4"
,,,,"2012","35.6 (x 1,000)","32.4 (x 1,000)","3.2 (x 1,000)","9.0"
,,,,"2013","36.7 (x 1,000)","33.9 (x 1,000)","2.7 (x 1,000)","7.4"
,,,,"2014","39.5 (x 1,000)","35.8 (x 1,000)","3.8 (x 1,000)","9.6"
,,,,"2015","39.5 (x 1,000)","35.7 (x 1,000)","3.8 (x 1,000)","9.6"
,,,,"2016","40.0 (x 1,000)","36.6 (x 1,000)","3.3 (x 1,000)","8.3"
,,,,"2017","39.1 (x 1,000)","35.1 (x 1,000)","4.0 (x 1,000)","10.2"
,,,,"2018","40.9 (x 1,000)","37.2 (x 1,000)","3.6 (x 1,000)","8.8"
,,,,"2019","43.5 (x 1,000)","40.0 (x 1,000)","3.5 (x 1,000)","8.0"
,,,,"2020","39.3 (x 1,000)","35.0 (x 1,000)","4.3 (x 1,000)","10.9"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","7.6","..","7.6",".."
,,,,"2011","7.7","..","7.7",".."
,,,,"2012","8.2","..","8.2",".."
,,,,"2013","7.5","..","7.5",".."
,,,,"2014","6.8","..","6.8",".."
,,,,"2015","6.9","..","6.9",".."
,,,,"2016","8.6","..","8.6",".."
,,,,"2017","9.2","..","9.2",".."
,,,,"2018","8.4","..","8.4",".."
,,,,"2019","7.3","..","7.3",".."
,,,,"2020","6.9","..","6.9",".."
,,,"15 to 24 years (x 1,000)","2010","1.9","..","1.9",".."
,,,,"2011","2.2","..","2.2",".."
,,,,"2012","2.1","..","2.1",".."
,,,,"2013","2.0","..","2.0",".."
,,,,"2014","1.8","..","1.8",".."
,,,,"2015","1.9","..","1.9",".."
,,,,"2016","2.1","..","2.1",".."
,,,,"2017","2.0","..","2.0",".."
,,,,"2018","1.6","..","1.6",".."
,,,,"2019","2.2","..","2.2",".."
,,,,"2020","1.8","..","1.8",".."
,,,"25 to 54 years (x 1,000)","2010","4.5","..","4.5",".."
,,,,"2011","4.4","..","4.4",".."
,,,,"2012","4.8","..","4.8",".."
,,,,"2013","3.6","..","3.6",".."
,,,,"2014","3.6","..","3.6",".."
,,,,"2015","3.6","..","3.6",".."
,,,,"2016","4.5","..","4.5",".."
,,,,"2017","5.0","..","5.0",".."
,,,,"2018","4.5","..","4.5",".."
,,,,"2019","3.8","..","3.8",".."
,,,,"2020","2.9","..","2.9",".."
,,,"55 years and over (x 1,000)","2010","1.2","..","1.2",".."
,,,,"2011","1.2","..","1.2",".."
,,,,"2012","1.2","..","1.2",".."
,,,,"2013","1.9","..","1.9",".."
,,,,"2014","1.4","..","1.4",".."
,,,,"2015","1.4","..","1.4",".."
,,,,"2016","2.0","..","2.0",".."
,,,,"2017","2.1","..","2.1",".."
,,,,"2018","2.2","..","2.2",".."
,,,,"2019","1.3","..","1.3",".."
,,,,"2020","2.1","..","2.1",".."
"Prince Edward Island","Total, all industries 8","Both sexes","15 years and over","2010","78.3 (x 1,000)","69.3 (x 1,000)","9.0 (x 1,000)","11.5"
,,,,"2011","80.7 (x 1,000)","71.6 (x 1,000)","9.0 (x 1,000)","11.2"
,,,,"2012","81.8 (x 1,000)","72.5 (x 1,000)","9.3 (x 1,000)","11.4"
,,,,"2013","82.9 (x 1,000)","73.2 (x 1,000)","9.7 (x 1,000)","11.7"
,,,,"2014","81.6 (x 1,000)","72.9 (x 1,000)","8.7 (x 1,000)","10.7"
,,,,"2015","80.7 (x 1,000)","72.1 (x 1,000)","8.5 (x 1,000)","10.5"
,,,,"2016","79.7 (x 1,000)","71.1 (x 1,000)","8.7 (x 1,000)","10.9"
,,,,"2017","81.6 (x 1,000)","73.6 (x 1,000)","8.1 (x 1,000)","9.9"
,,,,"2018","84.7 (x 1,000)","76.6 (x 1,000)","8.0 (x 1,000)","9.4"
,,,,"2019","86.8 (x 1,000)","79.2 (x 1,000)","7.6 (x 1,000)","8.8"
,,,,"2020","85.6 (x 1,000)","76.7 (x 1,000)","8.9 (x 1,000)","10.4"
,,,"15 to 24 years","2010","12.9 (x 1,000)","10.8 (x 1,000)","2.1 (x 1,000)","16.3"
,,,,"2011","13.6 (x 1,000)","11.6 (x 1,000)","2.0 (x 1,000)","14.7"
,,,,"2012","13.0 (x 1,000)","10.7 (x 1,000)","2.3 (x 1,000)","17.7"
,,,,"2013","12.9 (x 1,000)","10.5 (x 1,000)","2.4 (x 1,000)","18.6"
,,,,"2014","12.5 (x 1,000)","10.4 (x 1,000)","2.1 (x 1,000)","16.8"
,,,,"2015","12.3 (x 1,000)","10.3 (x 1,000)","1.9 (x 1,000)","15.4"
,,,,"2016","12.4 (x 1,000)","10.5 (x 1,000)","1.9 (x 1,000)","15.3"
,,,,"2017","12.6 (x 1,000)","10.9 (x 1,000)","1.7 (x 1,000)","13.5"
,,,,"2018","13.2 (x 1,000)","11.5 (x 1,000)","1.7 (x 1,000)","12.9"
,,,,"2019","14.2 (x 1,000)","12.7 (x 1,000)","1.5 (x 1,000)","10.6"
,,,,"2020","13.4 (x 1,000)","11.2 (x 1,000)","2.2 (x 1,000)","16.4"
,,,"25 to 54 years","2010","49.9 (x 1,000)","44.9 (x 1,000)","5.1 (x 1,000)","10.2"
,,,,"2011","50.6 (x 1,000)","45.5 (x 1,000)","5.2 (x 1,000)","10.3"
,,,,"2012","51.1 (x 1,000)","46.3 (x 1,000)","4.7 (x 1,000)","9.2"
,,,,"2013","50.3 (x 1,000)","45.3 (x 1,000)","5.0 (x 1,000)","9.9"
,,,,"2014","49.6 (x 1,000)","45.4 (x 1,000)","4.2 (x 1,000)","8.5"
,,,,"2015","49.3 (x 1,000)","44.9 (x 1,000)","4.4 (x 1,000)","8.9"
,,,,"2016","48.0 (x 1,000)","43.7 (x 1,000)","4.3 (x 1,000)","9.0"
,,,,"2017","49.2 (x 1,000)","44.9 (x 1,000)","4.3 (x 1,000)","8.7"
,,,,"2018","50.2 (x 1,000)","46.1 (x 1,000)","4.1 (x 1,000)","8.2"
,,,,"2019","50.9 (x 1,000)","47.1 (x 1,000)","3.8 (x 1,000)","7.5"
,,,,"2020","51.0 (x 1,000)","46.3 (x 1,000)","4.7 (x 1,000)","9.2"
,,,"55 years and over","2010","15.5 (x 1,000)","13.6 (x 1,000)","1.8 (x 1,000)","11.6"
,,,,"2011","16.5 (x 1,000)","14.6 (x 1,000)","1.9 (x 1,000)","11.5"
,,,,"2012","17.7 (x 1,000)","15.5 (x 1,000)","2.2 (x 1,000)","12.4"
,,,,"2013","19.8 (x 1,000)","17.5 (x 1,000)","2.3 (x 1,000)","11.6"
,,,,"2014","19.5 (x 1,000)","17.1 (x 1,000)","2.5 (x 1,000)","12.8"
,,,,"2015","19.1 (x 1,000)","16.9 (x 1,000)","2.2 (x 1,000)","11.5"
,,,,"2016","19.3 (x 1,000)","16.9 (x 1,000)","2.5 (x 1,000)","13.0"
,,,,"2017","19.9 (x 1,000)","17.8 (x 1,000)","2.1 (x 1,000)","10.6"
,,,,"2018","21.3 (x 1,000)","19.0 (x 1,000)","2.3 (x 1,000)","10.8"
,,,,"2019","21.7 (x 1,000)","19.4 (x 1,000)","2.3 (x 1,000)","10.6"
,,,,"2020","21.2 (x 1,000)","19.2 (x 1,000)","2.0 (x 1,000)","9.4"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","20.0 (x 1,000)","16.5 (x 1,000)","3.5 (x 1,000)","17.5"
,,,,"2011","21.3 (x 1,000)","17.5 (x 1,000)","3.8 (x 1,000)","17.8"
,,,,"2012","21.7 (x 1,000)","18.1 (x 1,000)","3.6 (x 1,000)","16.6"
,,,,"2013","21.4 (x 1,000)","17.8 (x 1,000)","3.7 (x 1,000)","17.3"
,,,,"2014","21.0 (x 1,000)","17.8 (x 1,000)","3.2 (x 1,000)","15.2"
,,,,"2015","20.2 (x 1,000)","16.9 (x 1,000)","3.3 (x 1,000)","16.3"
,,,,"2016","19.5 (x 1,000)","16.3 (x 1,000)","3.2 (x 1,000)","16.4"
,,,,"2017","20.6 (x 1,000)","17.4 (x 1,000)","3.2 (x 1,000)","15.5"
,,,,"2018","22.7 (x 1,000)","19.5 (x 1,000)","3.2 (x 1,000)","14.1"
,,,,"2019","23.2 (x 1,000)","20.1 (x 1,000)","3.1 (x 1,000)","13.4"
,,,,"2020","22.1 (x 1,000)","19.6 (x 1,000)","2.5 (x 1,000)","11.3"
,,,"15 to 24 years","2010","2.5 (x 1,000)","1.8 (x 1,000)","0.7 (x 1,000)","28.0"
,,,,"2011","3.0 (x 1,000)","2.4 (x 1,000)","0.6 (x 1,000)","20.0"
,,,,"2012","3.0 (x 1,000)","2.2 (x 1,000)","0.8 (x 1,000)","26.7"
,,,,"2013","2.5 (x 1,000)","1.8 (x 1,000)","0.7 (x 1,000)","28.0"
,,,,"2014","2.4 (x 1,000)","1.8 (x 1,000)","0.6 (x 1,000)","25.0"
,,,,"2015","2.1 (x 1,000)","1.6 (x 1,000)","0.5 (x 1,000)","23.8"
,,,,"2016","2.2 (x 1,000)","1.7 (x 1,000)","0.4 (x 1,000)","18.2"
,,,,"2017","2.0 (x 1,000)","1.6 (x 1,000)","0.4 (x 1,000)","20.0"
,,,,"2018","2.8 (x 1,000)","2.3 (x 1,000)","0.5 (x 1,000)","17.9"
,,,,"2019","2.8 (x 1,000)","2.5 (x 1,000)","0.4 (x 1,000)","14.3"
,,,,"2020","2.7 (x 1,000)","2.4 (x 1,000)","0.4 (x 1,000)","14.8"
,,,"25 to 54 years","2010","13.5 (x 1,000)","11.2 (x 1,000)","2.2 (x 1,000)","16.3"
,,,,"2011","13.9 (x 1,000)","11.3 (x 1,000)","2.6 (x 1,000)","18.7"
,,,,"2012","13.5 (x 1,000)","11.6 (x 1,000)","1.9 (x 1,000)","14.1"
,,,,"2013","12.8 (x 1,000)","10.7 (x 1,000)","2.1 (x 1,000)","16.4"
,,,,"2014","12.9 (x 1,000)","11.1 (x 1,000)","1.7 (x 1,000)","13.2"
,,,,"2015","12.5 (x 1,000)","10.6 (x 1,000)","1.8 (x 1,000)","14.4"
,,,,"2016","11.4 (x 1,000)","9.8 (x 1,000)","1.7 (x 1,000)","14.9"
,,,,"2017","12.9 (x 1,000)","11.2 (x 1,000)","1.7 (x 1,000)","13.2"
,,,,"2018","13.0 (x 1,000)","11.3 (x 1,000)","1.7 (x 1,000)","13.1"
,,,,"2019","13.3 (x 1,000)","11.6 (x 1,000)","1.7 (x 1,000)","12.8"
,,,,"2020","12.9 (x 1,000)","11.4 (x 1,000)","1.5 (x 1,000)","11.6"
,,,"55 years and over","2010","4.1 (x 1,000)","3.4 (x 1,000)","0.6 (x 1,000)","14.6"
,,,,"2011","4.4 (x 1,000)","3.8 (x 1,000)","0.6 (x 1,000)","13.6"
,,,,"2012","5.1 (x 1,000)","4.3 (x 1,000)","0.9 (x 1,000)","17.6"
,,,,"2013","6.2 (x 1,000)","5.3 (x 1,000)","0.9 (x 1,000)","14.5"
,,,,"2014","5.7 (x 1,000)","4.8 (x 1,000)","0.8 (x 1,000)","14.0"
,,,,"2015","5.7 (x 1,000)","4.7 (x 1,000)","1.0 (x 1,000)","17.5"
,,,,"2016","5.9 (x 1,000)","4.8 (x 1,000)","1.1 (x 1,000)","18.6"
,,,,"2017","5.7 (x 1,000)","4.7 (x 1,000)","1.0 (x 1,000)","17.5"
,,,,"2018","6.9 (x 1,000)","5.9 (x 1,000)","1.0 (x 1,000)","14.5"
,,,,"2019","7.0 (x 1,000)","6.0 (x 1,000)","1.0 (x 1,000)","14.3"
,,,,"2020","6.4 (x 1,000)","5.8 (x 1,000)","0.6 (x 1,000)","9.4"
,"Services-producing sector 10","Both sexes","15 years and over","2010","57.2 (x 1,000)","52.8 (x 1,000)","4.4 (x 1,000)","7.7"
,,,,"2011","58.3 (x 1,000)","54.1 (x 1,000)","4.2 (x 1,000)","7.2"
,,,,"2012","58.8 (x 1,000)","54.4 (x 1,000)","4.4 (x 1,000)","7.5"
,,,,"2013","59.9 (x 1,000)","55.4 (x 1,000)","4.4 (x 1,000)","7.3"
,,,,"2014","59.1 (x 1,000)","55.1 (x 1,000)","4.0 (x 1,000)","6.8"
,,,,"2015","58.8 (x 1,000)","55.2 (x 1,000)","3.6 (x 1,000)","6.1"
,,,,"2016","58.6 (x 1,000)","54.7 (x 1,000)","3.9 (x 1,000)","6.7"
,,,,"2017","59.5 (x 1,000)","56.1 (x 1,000)","3.3 (x 1,000)","5.5"
,,,,"2018","60.5 (x 1,000)","57.1 (x 1,000)","3.4 (x 1,000)","5.6"
,,,,"2019","62.3 (x 1,000)","59.1 (x 1,000)","3.1 (x 1,000)","5.0"
,,,,"2020","62.1 (x 1,000)","57.1 (x 1,000)","5.0 (x 1,000)","8.1"
,,,"15 to 24 years","2010","10.1 (x 1,000)","9.0 (x 1,000)","1.1 (x 1,000)","10.9"
,,,,"2011","10.3 (x 1,000)","9.2 (x 1,000)","1.1 (x 1,000)","10.7"
,,,,"2012","9.5 (x 1,000)","8.4 (x 1,000)","1.0 (x 1,000)","10.5"
,,,,"2013","9.8 (x 1,000)","8.7 (x 1,000)","1.1 (x 1,000)","11.2"
,,,,"2014","9.6 (x 1,000)","8.6 (x 1,000)","0.9 (x 1,000)","9.4"
,,,,"2015","9.6 (x 1,000)","8.8 (x 1,000)","0.8 (x 1,000)","8.3"
,,,,"2016","9.7 (x 1,000)","8.8 (x 1,000)","0.9 (x 1,000)","9.3"
,,,,"2017","10.1 (x 1,000)","9.3 (x 1,000)","0.8 (x 1,000)","7.9"
,,,,"2018","9.9 (x 1,000)","9.3 (x 1,000)","0.7 (x 1,000)","7.1"
,,,,"2019","10.9 (x 1,000)","10.3 (x 1,000)","0.7 (x 1,000)","6.4"
,,,,"2020","10.2 (x 1,000)","8.8 (x 1,000)","1.4 (x 1,000)","13.7"
,,,"25 to 54 years","2010","35.9 (x 1,000)","33.6 (x 1,000)","2.3 (x 1,000)","6.4"
,,,,"2011","36.2 (x 1,000)","34.1 (x 1,000)","2.1 (x 1,000)","5.8"
,,,,"2012","37.0 (x 1,000)","34.7 (x 1,000)","2.3 (x 1,000)","6.2"
,,,,"2013","36.7 (x 1,000)","34.6 (x 1,000)","2.2 (x 1,000)","6.0"
,,,,"2014","36.1 (x 1,000)","34.3 (x 1,000)","1.8 (x 1,000)","5.0"
,,,,"2015","36.2 (x 1,000)","34.3 (x 1,000)","1.9 (x 1,000)","5.2"
,,,,"2016","35.8 (x 1,000)","33.9 (x 1,000)","1.9 (x 1,000)","5.3"
,,,,"2017","35.5 (x 1,000)","33.7 (x 1,000)","1.8 (x 1,000)","5.1"
,,,,"2018","36.5 (x 1,000)","34.8 (x 1,000)","1.8 (x 1,000)","4.9"
,,,,"2019","37.0 (x 1,000)","35.5 (x 1,000)","1.5 (x 1,000)","4.1"
,,,,"2020","37.4 (x 1,000)","34.9 (x 1,000)","2.5 (x 1,000)","6.7"
,,,"55 years and over","2010","11.2 (x 1,000)","10.2 (x 1,000)","1.0 (x 1,000)","8.9"
,,,,"2011","11.8 (x 1,000)","10.8 (x 1,000)","1.0 (x 1,000)","8.5"
,,,,"2012","12.3 (x 1,000)","11.2 (x 1,000)","1.1 (x 1,000)","8.9"
,,,,"2013","13.3 (x 1,000)","12.2 (x 1,000)","1.1 (x 1,000)","8.3"
,,,,"2014","13.4 (x 1,000)","12.2 (x 1,000)","1.2 (x 1,000)","9.0"
,,,,"2015","13.1 (x 1,000)","12.2 (x 1,000)","0.9 (x 1,000)","6.9"
,,,,"2016","13.1 (x 1,000)","12.0 (x 1,000)","1.1 (x 1,000)","8.4"
,,,,"2017","13.9 (x 1,000)","13.1 (x 1,000)","0.8 (x 1,000)","5.8"
,,,,"2018","14.1 (x 1,000)","13.1 (x 1,000)","1.0 (x 1,000)","7.1"
,,,,"2019","14.4 (x 1,000)","13.4 (x 1,000)","1.0 (x 1,000)","6.9"
,,,,"2020","14.5 (x 1,000)","13.4 (x 1,000)","1.1 (x 1,000)","7.6"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","1.1","..","1.1",".."
,,,,"2011","1.1","..","1.1",".."
,,,,"2012","1.3","..","1.3",".."
,,,,"2013","1.6","..","1.6",".."
,,,,"2014","1.6","..","1.6",".."
,,,,"2015","1.6","..","1.6",".."
,,,,"2016","1.6","..","1.6",".."
,,,,"2017","1.5","..","1.5",".."
,,,,"2018","1.4","..","1.4",".."
,,,,"2019","1.3","..","1.3",".."
,,,,"2020","1.4","..","1.4",".."
,,,"15 to 24 years (x 1,000)","2010","0.3","..","0.3",".."
,,,,"2011","0.3","..","0.3",".."
,,,,"2012","0.5","..","0.5",".."
,,,,"2013","0.6","..","0.6",".."
,,,,"2014","0.5","..","0.5",".."
,,,,"2015","0.6","..","0.6",".."
,,,,"2016","0.6","..","0.6",".."
,,,,"2017","0.4","..","0.4",".."
,,,,"2018","0.5","..","0.5",".."
,,,,"2019","0.5","..","0.5",".."
,,,,"2020","0.5","..","0.5",".."
,,,"25 to 54 years (x 1,000)","2010","0.5","..","0.5",".."
,,,,"2011","0.5","..","0.5",".."
,,,,"2012","0.5","..","0.5",".."
,,,,"2013","0.7","..","0.7",".."
,,,,"2014","0.6","..","0.6",".."
,,,,"2015","0.7","..","0.7",".."
,,,,"2016","0.7","..","0.7",".."
,,,,"2017","0.8","..","0.8",".."
,,,,"2018","0.6","..","0.6",".."
,,,,"2019","0.6","..","0.6",".."
,,,,"2020","0.7","..","0.7",".."
,,,"55 years and over (x 1,000)","2010","0.2","..","0.2",".."
,,,,"2011","0.3","..","0.3",".."
,,,,"2012","0.3","..","0.3",".."
,,,,"2013","0.3","..","0.3",".."
,,,,"2014","0.4","..","0.4",".."
,,,,"2015","0.3","..","0.3",".."
,,,,"2016","0.3","..","0.3",".."
,,,,"2017","0.3","..","0.3",".."
,,,,"2018","0.3","..","0.3",".."
,,,,"2019","0.3","..","0.3",".."
,,,,"2020","0.3","..","0.3",".."
"Nova Scotia","Total, all industries 8","Both sexes","15 years and over","2010","497.7 (x 1,000)","449.8 (x 1,000)","47.9 (x 1,000)","9.6"
,,,,"2011","496.2 (x 1,000)","450.9 (x 1,000)","45.3 (x 1,000)","9.1"
,,,,"2012","499.9 (x 1,000)","454.1 (x 1,000)","45.9 (x 1,000)","9.2"
,,,,"2013","493.8 (x 1,000)","449.0 (x 1,000)","44.8 (x 1,000)","9.1"
,,,,"2014","485.8 (x 1,000)","442.4 (x 1,000)","43.4 (x 1,000)","8.9"
,,,,"2015","481.3 (x 1,000)","439.4 (x 1,000)","42.0 (x 1,000)","8.7"
,,,,"2016","479.7 (x 1,000)","439.3 (x 1,000)","40.4 (x 1,000)","8.4"
,,,,"2017","483.8 (x 1,000)","442.4 (x 1,000)","41.4 (x 1,000)","8.6"
,,,,"2018","488.1 (x 1,000)","450.7 (x 1,000)","37.4 (x 1,000)","7.7"
,,,,"2019","498.0 (x 1,000)","461.2 (x 1,000)","36.7 (x 1,000)","7.4"
,,,,"2020","487.3 (x 1,000)","439.7 (x 1,000)","47.6 (x 1,000)","9.8"
,,,"15 to 24 years","2010","79.9 (x 1,000)","67.2 (x 1,000)","12.7 (x 1,000)","15.9"
,,,,"2011","77.9 (x 1,000)","65.1 (x 1,000)","12.9 (x 1,000)","16.6"
,,,,"2012","77.4 (x 1,000)","63.2 (x 1,000)","14.1 (x 1,000)","18.2"
,,,,"2013","75.0 (x 1,000)","61.7 (x 1,000)","13.3 (x 1,000)","17.7"
,,,,"2014","73.2 (x 1,000)","60.4 (x 1,000)","12.8 (x 1,000)","17.5"
,,,,"2015","72.9 (x 1,000)","62.0 (x 1,000)","11.0 (x 1,000)","15.1"
,,,,"2016","69.2 (x 1,000)","59.2 (x 1,000)","10.0 (x 1,000)","14.5"
,,,,"2017","69.8 (x 1,000)","58.1 (x 1,000)","11.6 (x 1,000)","16.6"
,,,,"2018","73.1 (x 1,000)","61.6 (x 1,000)","11.4 (x 1,000)","15.6"
,,,,"2019","77.2 (x 1,000)","66.9 (x 1,000)","10.3 (x 1,000)","13.3"
,,,,"2020","70.5 (x 1,000)","58.4 (x 1,000)","12.1 (x 1,000)","17.2"
,,,"25 to 54 years","2010","327.7 (x 1,000)","299.0 (x 1,000)","28.7 (x 1,000)","8.8"
,,,,"2011","325.2 (x 1,000)","300.2 (x 1,000)","25.0 (x 1,000)","7.7"
,,,,"2012","321.4 (x 1,000)","297.2 (x 1,000)","24.2 (x 1,000)","7.5"
,,,,"2013","316.1 (x 1,000)","292.3 (x 1,000)","23.8 (x 1,000)","7.5"
,,,,"2014","309.4 (x 1,000)","286.7 (x 1,000)","22.7 (x 1,000)","7.3"
,,,,"2015","305.0 (x 1,000)","282.5 (x 1,000)","22.4 (x 1,000)","7.3"
,,,,"2016","299.6 (x 1,000)","277.8 (x 1,000)","21.8 (x 1,000)","7.3"
,,,,"2017","300.7 (x 1,000)","279.4 (x 1,000)","21.3 (x 1,000)","7.1"
,,,,"2018","301.2 (x 1,000)","282.6 (x 1,000)","18.6 (x 1,000)","6.2"
,,,,"2019","304.0 (x 1,000)","285.3 (x 1,000)","18.7 (x 1,000)","6.2"
,,,,"2020","302.3 (x 1,000)","277.5 (x 1,000)","24.7 (x 1,000)","8.2"
,,,"55 years and over","2010","90.0 (x 1,000)","83.6 (x 1,000)","6.4 (x 1,000)","7.1"
,,,,"2011","93.1 (x 1,000)","85.7 (x 1,000)","7.4 (x 1,000)","7.9"
,,,,"2012","101.2 (x 1,000)","93.7 (x 1,000)","7.6 (x 1,000)","7.5"
,,,,"2013","102.7 (x 1,000)","95.0 (x 1,000)","7.7 (x 1,000)","7.5"
,,,,"2014","103.2 (x 1,000)","95.3 (x 1,000)","7.9 (x 1,000)","7.7"
,,,,"2015","103.4 (x 1,000)","94.8 (x 1,000)","8.6 (x 1,000)","8.3"
,,,,"2016","110.8 (x 1,000)","102.3 (x 1,000)","8.5 (x 1,000)","7.7"
,,,,"2017","113.3 (x 1,000)","104.9 (x 1,000)","8.5 (x 1,000)","7.5"
,,,,"2018","113.8 (x 1,000)","106.5 (x 1,000)","7.4 (x 1,000)","6.5"
,,,,"2019","116.8 (x 1,000)","109.0 (x 1,000)","7.7 (x 1,000)","6.6"
,,,,"2020","114.5 (x 1,000)","103.8 (x 1,000)","10.7 (x 1,000)","9.3"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","101.3 (x 1,000)","88.4 (x 1,000)","12.9 (x 1,000)","12.7"
,,,,"2011","100.7 (x 1,000)","88.1 (x 1,000)","12.6 (x 1,000)","12.5"
,,,,"2012","99.4 (x 1,000)","86.2 (x 1,000)","13.2 (x 1,000)","13.3"
,,,,"2013","99.8 (x 1,000)","86.7 (x 1,000)","13.1 (x 1,000)","13.1"
,,,,"2014","95.1 (x 1,000)","83.4 (x 1,000)","11.7 (x 1,000)","12.3"
,,,,"2015","94.7 (x 1,000)","82.1 (x 1,000)","12.6 (x 1,000)","13.3"
,,,,"2016","93.9 (x 1,000)","81.5 (x 1,000)","12.4 (x 1,000)","13.2"
,,,,"2017","91.6 (x 1,000)","81.0 (x 1,000)","10.6 (x 1,000)","11.6"
,,,,"2018","93.3 (x 1,000)","83.7 (x 1,000)","9.6 (x 1,000)","10.3"
,,,,"2019","94.7 (x 1,000)","86.2 (x 1,000)","8.5 (x 1,000)","9.0"
,,,,"2020","95.2 (x 1,000)","84.8 (x 1,000)","10.4 (x 1,000)","10.9"
,,,"15 to 24 years","2010","11.2 (x 1,000)","9.2 (x 1,000)","2.0 (x 1,000)","17.9"
,,,,"2011","10.5 (x 1,000)","8.4 (x 1,000)","2.1 (x 1,000)","20.0"
,,,,"2012","11.4 (x 1,000)","8.3 (x 1,000)","3.1 (x 1,000)","27.2"
,,,,"2013","10.0 (x 1,000)","8.1 (x 1,000)","1.9 (x 1,000)","19.0"
,,,,"2014","10.7 (x 1,000)","8.0 (x 1,000)","2.6 (x 1,000)","24.3"
,,,,"2015","9.7 (x 1,000)","7.6 (x 1,000)","2.1 (x 1,000)","21.6"
,,,,"2016","10.2 (x 1,000)","8.3 (x 1,000)","1.9 (x 1,000)","18.6"
,,,,"2017","9.2 (x 1,000)","8.0 (x 1,000)","1.3 (x 1,000)","14.1"
,,,,"2018","10.3 (x 1,000)","8.4 (x 1,000)","1.9 (x 1,000)","18.4"
,,,,"2019","11.2 (x 1,000)","9.7 (x 1,000)","1.5 (x 1,000)","13.4"
,,,,"2020","10.7 (x 1,000)","8.6 (x 1,000)","2.1 (x 1,000)","19.6"
,,,"25 to 54 years","2010","72.2 (x 1,000)","63.2 (x 1,000)","9.0 (x 1,000)","12.5"
,,,,"2011","70.9 (x 1,000)","63.4 (x 1,000)","7.5 (x 1,000)","10.6"
,,,,"2012","67.4 (x 1,000)","60.0 (x 1,000)","7.4 (x 1,000)","11.0"
,,,,"2013","68.4 (x 1,000)","60.1 (x 1,000)","8.3 (x 1,000)","12.1"
,,,,"2014","62.1 (x 1,000)","55.6 (x 1,000)","6.5 (x 1,000)","10.5"
,,,,"2015","62.1 (x 1,000)","55.2 (x 1,000)","6.9 (x 1,000)","11.1"
,,,,"2016","60.1 (x 1,000)","52.7 (x 1,000)","7.4 (x 1,000)","12.3"
,,,,"2017","58.0 (x 1,000)","51.9 (x 1,000)","6.1 (x 1,000)","10.5"
,,,,"2018","58.2 (x 1,000)","52.8 (x 1,000)","5.4 (x 1,000)","9.3"
,,,,"2019","59.3 (x 1,000)","54.5 (x 1,000)","4.8 (x 1,000)","8.1"
,,,,"2020","59.9 (x 1,000)","54.2 (x 1,000)","5.7 (x 1,000)","9.5"
,,,"55 years and over","2010","17.9 (x 1,000)","16.1 (x 1,000)","1.8 (x 1,000)","10.1"
,,,,"2011","19.4 (x 1,000)","16.4 (x 1,000)","3.0 (x 1,000)","15.5"
