Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Ontario,2014,707589.0,727042.0,727042.0,676838.4,659861.2,125.9,187.3,14690.599999999999,13618.199999999999,1072.3,0.33967954232639297,13617553.0,51961.53817062434,53390.06207649789,53390.06207649789,49703.379160705306,48456.6647179563
Ontario,2015,724946.0,760435.0,760435.0,706836.6,677384.0,127.4,153.8,14685.999999999998,13690.8,995.2,0.3167328356027056,13707118.0,52888.287676519605,55477.38043839704,55477.38043839704,51567.12009045227,49418.41166027753
Ontario,2016,740164.0,790749.0,790749.0,733760.7,692620.8,129.7,145.3,14817.8,13842.899999999998,975.0,0.30793382686853954,13875394.0,53343.63838605231,56989.30062814793,56989.30062814793,52882.15239149245,49917.19874765358
Ontario,2017,761025.0,824979.0,824979.0,764464.8,711695.1,131.9,164.6,15013.0,14105.0,908.0,0.2790293503128605,14070141.0,54087.9441080228,58633.31433565591,58633.31433565591,54332.41926999879,50581.94512762879
Ontario,2018,782115.0,859079.0,859079.0,0.0,732426.3,135.0,182.9,15217.800000000001,14346.599999999999,871.0,0.2659212744607461,14308697.0,54660.113356233625,60038.93995379174,60038.93995379174,0.0,51187.491076231476
Ontario,2019,798213.0,891811.0,891811.0,0.0,747589.4,137.5,170.2,15632.6,14753.900000000001,878.8,0.2643063283744123,14544718.0,54879.92273208735,61315.11109393802,61315.11109393802,0.0,51399.37398580021
Manitoba,2010,56727.0,53359.0,53359.0,49508.3,52841.8,115.0,147.7,1284.8,1214.8,70.00000000000001,0.24590914829780317,1220780.0,46467.832041809335,43708.94018578286,43708.94018578286,40554.64539065188,43285.27662641918
Manitoba,2011,58087.0,56252.0,56252.0,52461.7,54057.9,118.4,174.6,1295.0,1223.8999999999999,71.0,0.2475183723793879,1233649.0,47085.51622057814,45598.05909136229,45598.05909136229,42525.62925110789,43819.51430269064
Manitoba,2012,59846.0,59848.0,59848.0,55676.3,55676.4,120.3,179.9,1307.6,1237.8,69.7,0.24511745637428017,1249975.0,47877.7575551511,47879.35758715174,47879.35758715174,44541.930838616776,44542.010840216804
Manitoba,2013,61583.0,62386.0,62386.0,57869.0,57169.9,123.0,183.8,1316.0,1244.7999999999997,71.20000000000002,0.2424428481408498,1264620.0,48696.84173902042,49331.81509069919,49331.81509069919,45759.99114358464,45207.17685945185
